Species,Model,kap,v,z,p_Am,p_M,E_G,s_M,L_b,L_m,L_j,L_i,L_p,l_i,n_HE,n_OE,n_NE,n_CX,n_HX,n_OX,n_NX,n_CV,n_HV,n_OV,n_NV,n_CE,n_CP,n_HP,n_OP,n_NP,eta_PA,eta_XA,eta_VG,k_J,kap_R,E_Hb,E_Hp,E_Hj,n_NN,n_CN,n_HN,n_ON,mu_E,T_A,T_ref,p_T,L_s,L_x
Glycymeris_longior,abj,0.98,0.019786,0.15546,0.545632873469388,3.4396,2361.7404,15.5964848657051,0.0038538350126268,0.15546,0.0601062794493583,2.42462953722251,1.20684205317916,15.5964848657051,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59445567199894e-06,0.0004543,0.95,2.761e-06,117,0.01065,1,0,3,0,550000,7051,293.15,0,NaN,NaN
Glycymeris_pilosa,abj,0.98,0.018397,0.26348,1.05300588571429,3.9166,2363.8606,21.3440466326715,0.00374111665174289,0.26348,0.079850568273064,5.62372940677627,2.70510210281544,21.3440466326715,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59302556866891e-06,0.00051597,0.95,2.528e-06,1527,0.02481,1,0,3,0,550000,7051,293.15,0,NaN,NaN
Lissarca_notorcadensis,abj,0.98322,0.01065,0.27423,5.51536378531763,19.7747,2352.4729,1.16818708138103,0.0166007169598896,0.27423,0.0193927430942061,0.32035194332712,0.142180126507346,1.16818708138103,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.6007369847147e-06,0.002,0.95,0.0001869,0.1654,0.0003025,1,0,3,0,550000,7051,293.15,0,NaN,NaN
Adamussium_colbecki,abj,0.69142,0.011383,0.52181,29.0015027653235,38.4282,4108.5539,6.15541592981908,0.00374262199143226,0.52181,0.0230373950253533,3.21195758633889,1.71104830835955,6.15541592981908,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.61923631214184e-06,0.002,0.95,9.645e-05,15480,0.0226,1,0,3,0,550000,7071.5651,293.15,0,NaN,NaN
Placopecten_magellanicus,abj,0.75979,0.010656,0.96653,395.841605235657,311.1714,2393.3408,3.43254083932947,0.0040351628603868,0.96653,0.0138508613116232,3.31765369743711,0.698583017463691,3.43254083932947,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.57340332666749e-06,0.002,0.95,5.161e-05,862.7,0.002116,1,0,3,0,550000,9000,293.15,0,NaN,NaN
Argopecten_purpuratus,abj,0.9719,0.03876,0.9754,51.8661096820661,51.68,2374,5.40833003295815,0.00346380618260355,0.9754,0.0187334070057209,5.27528511414738,0.965242578102542,5.40833003295815,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.58622172559774e-06,0.002,0.95,2.859e-06,75.57,0.0004535,1,0,3,0,550000,8129,293.15,0,NaN,NaN
Aequipecten_opercularis,abj,0.99997,0.016669,0.38003,14.7408558506755,38.7875,2347.9797,11.086837739198,0.00502670769092389,0.38003,0.0557302925316516,4.2133309460274,1.80286757546372,11.086837739198,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60380022730564e-06,0.002,0.475,9.004e-09,0.6447,1.239e-05,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Nodipecten_subnodosus,abj,0.82461,0.013328,1.2794,28.5610251634106,18.4084,5292.9934,5.46313267968614,0.00543494771062545,1.2794,0.0296918404503033,6.98953195039044,2.54687539683728,5.46313267968614,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.58099589484092e-06,0.002,0.475,0.0001809,22980,0.02954,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Pecten_maximus,abj,0.88654,0.030215,1.0518,58.2043298215535,49.0592,2372.0278,4.37391363706484,0.00940259242803183,1.0518,0.041126127244731,4.6004823634648,1.85704294906113,4.37391363706484,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.58754057459573e-06,0.002,0.95,0.0002541,3234,0.02141,1,0,3,0,550000,7671.1416,293.15,0,NaN,NaN
Chlamys_islandica,abj,0.41592,0.0088534,0.24108,13.8927624639354,23.9683,2350.5622,23.5051636781377,0.00470854369598093,0.24108,0.110675090259695,5.66662485952544,1.19461083887022,23.5051636781377,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60203817476901e-06,0.002,0.95,0.000347,6691,4.566,1,0,3,0,550000,5290,293.15,0,NaN,NaN
